Term,Lag,P_Value,Significance
cold,1,1.1859910343903294e-08,Bonferroni
fever flu,3,0.031203187790026874,Uncorrected
flu a,4,0.025550992802302934,Uncorrected
flu cold,2,0.00360589048079526,FDR
flu cold,3,0.04063566933477683,FDR
flu fever,3,0.031203187795378434,Uncorrected
flu symptoms,1,0.0008133653033547999,Bonferroni
flu symptoms,3,0.044897618317787304,FDR
flu type,1,6.877877143393503e-06,Bonferroni
flu type,3,0.0025170900594460345,FDR
flu virus,3,0.003863236910786105,FDR
how long does flu last,2,0.0006764073660098522,Bonferroni
how long does flu last,4,0.02478639121988973,FDR
how long does flu last,5,0.036403926909177875,FDR
is flu contagious,1,0.00018443015885506332,Bonferroni
symptoms of flu,2,0.047287173260303565,Uncorrected
the flu,3,0.01013846998663743,FDR
the flu symptoms,2,0.01275786875329116,FDR
