Term,Category,Count,Mean_Pvalue,Median_Pvalue,Min_Pvalue,Max_Pvalue
cold,Bonferroni,3,0.0005549999999999999,0.000633,0.000324,0.000708
influenza a,Bonferroni,2,0.0009125,0.0009125,0.000583,0.001242
a influenza,Bonferroni,2,0.0009125,0.0009125,0.000583,0.001242
flu a,Bonferroni,2,0.002471,0.002471,0.002458,0.002484
how long does flu last,Bonferroni,1,0.00148,0.00148,0.00148,0.00148
cold,FDR,2,0.003404,0.003404,0.002845,0.003963
how long does flu last,FDR,2,0.003474,0.003474,0.003089,0.003859
the flu,FDR,1,0.003403,0.003403,0.003403,0.003403
flu fever,Uncorrected,3,0.026281666666666665,0.032607,0.013355,0.032883
the flu,Uncorrected,2,0.017367,0.017367,0.01375,0.020984
fever flu,Uncorrected,2,0.0249015,0.0249015,0.018454,0.031349
flu a,Uncorrected,1,0.017877,0.017877,0.017877,0.017877
bronchitis,Uncorrected,1,0.042879,0.042879,0.042879,0.042879
